"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"3141 Technici a laboranti v biologickych a pribuznych oborech (krome zdravotnickych)";2.1989;24347.0815;15726.5655;19353.6004;29259.138;41881.3149;27107.2533;16.97;1.62;6.22;172.2591;"3141";"Technici a laboranti v biologickych a pribuznych oborech (krome zdravotnickych)"
"3142 Technici v oblasti zemedelstvi, rybarstvi a vodohospodarstvi";8.0512;26147.1895;18031.5445;22211.6106;30777.452;37633.003;27349.3353;15.86;0.72;7.28;174.5611;"3142";"Technici v oblasti zemedelstvi, rybarstvi a vodohospodarstvi"
"3143 Technici v oblasti lesnictvi a myslivosti";0.7654;24954.5181;15193.9943;19966.6402;31835.9307;38793.677;26487.4072;22.28;0.35;6.89;170.7602;"3143";"Technici v oblasti lesnictvi a myslivosti"
"3154 ridici letoveho provozu";0.3367;181680.8209;39526.0797;86274.8246;230267.8882;269852.4271;162330.5268;17.22;18.27;15.79;154.0257;"3154";"ridici letoveho provozu"
"3211 Technici a asistenti pro obsluhu lekarskych zarizeni";1.0434;28496.5394;21347.5762;24519.3696;35306.6539;44092.9008;30878.63;12.13;10.91;7.5;179.8284;"3211";"Technici a asistenti pro obsluhu lekarskych zarizeni"
"3212 Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi";3.8317;26765.1081;20039.0816;23090.1643;31675.3043;37804.4911;28333.1432;12.39;5.1;7.06;175.8819;"3212";"Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi"
"3213 Farmaceuticti asistenti";4.7742;24050.1221;18493.9372;21524.0762;29960.0076;36513.7038;26067.1877;16.3;0.86;7.45;175.7862;"3213";"Farmaceuticti asistenti"
"3221 Vseobecne sestry bez specializace";36.2361;21825.617;14038.724;17982.3878;26625.6101;30613.7748;22420.8183;10.19;5.56;7.23;171.5624;"3221";"Vseobecne sestry bez specializace"
"3222 Porodni asistentky bez specializace";1.2264;26694.6219;22262.0395;23049.334;29720.8595;33116.8855;27348.8155;6.58;11.46;6.37;169.4823;"3222";"Porodni asistentky bez specializace"
"3255 Odborni pracovnici v oblasti rehabilitace";1.8799;22909.5467;16320.3875;19237.2266;26435.89;29598.4188;23062.3726;11.86;2.46;7.37;168.2554;"3255";"Odborni pracovnici v oblasti rehabilitace"
